date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:25:42	572/572	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Thu,%2031%20Aug%202023%2016:25:41%20GMT	https://go-tailwind.preview.uideck.com/src/images/team/image-2.jpg	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/src/images/team/image-2.jpg	(from https://go-tailwind.preview.uideck.com/)
17:25:42	572/572	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Thu,%2031%20Aug%202023%2016:25:42%20GMT	https://go-tailwind.preview.uideck.com/src/images/about/image-1.jpg	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/src/images/about/image-1.jpg	(from https://go-tailwind.preview.uideck.com/)
17:25:44	88892/88892	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22c7fa84fa7a4743439d10564e8ad6c010%22	https://go-tailwind.preview.uideck.com/src/images/NoisePattern.svg	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/src/images/NoisePattern.svg	(from https://go-tailwind.preview.uideck.com/style.css)
17:25:44	572/572	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Thu,%2031%20Aug%202023%2016:25:43%20GMT	https://go-tailwind.preview.uideck.com/src/images/portfolio/image-4.jpg	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/src/images/portfolio/image-4.jpg	(from https://go-tailwind.preview.uideck.com/)
17:25:44	572/572	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Thu,%2031%20Aug%202023%2016:25:43%20GMT	https://go-tailwind.preview.uideck.com/src/images/blog/image-1.jpg	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/src/images/blog/image-1.jpg	(from https://go-tailwind.preview.uideck.com/)
17:25:44	572/572	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Thu,%2031%20Aug%202023%2016:25:43%20GMT	https://go-tailwind.preview.uideck.com/src/images/portfolio/image-2.jpg	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/src/images/portfolio/image-2.jpg	(from https://go-tailwind.preview.uideck.com/)
17:25:45	572/572	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Thu,%2031%20Aug%202023%2016:25:44%20GMT	https://go-tailwind.preview.uideck.com/src/images/blog/image-3.jpg	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/src/images/blog/image-3.jpg	(from https://go-tailwind.preview.uideck.com/)
17:25:46	7369/7369	UR-MCZ	200	added ('OK')	application/javascript	date:Thu,%2031%20Aug%202023%2016:25:45%20GMT	https://go-tailwind.preview.uideck.com/cdn-cgi/challenge-platform/h/b/scripts/jsd/be88c2a1/main.js	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/cdn-cgi/challenge-platform/h/b/scripts/jsd/be88c2a1/main.js	(from https://go-tailwind.preview.uideck.com/)
17:25:46	572/572	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Thu,%2031%20Aug%202023%2016:25:45%20GMT	https://go-tailwind.preview.uideck.com/bundle.js	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/bundle.js	(from https://go-tailwind.preview.uideck.com/)
17:25:47	572/572	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Thu,%2031%20Aug%202023%2016:25:46%20GMT	https://go-tailwind.preview.uideck.com/src/images/blog/blog-details-2.jpg	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/src/images/blog/blog-details-2.jpg	(from https://go-tailwind.preview.uideck.com/blog-details)
17:25:47	4687/-1	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Aug%202023%2016:25:47%20GMT	https://go-tailwind.preview.uideck.com/cdn-cgi/l/email-protection	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/cdn-cgi/l/email-protection.html	(from https://go-tailwind.preview.uideck.com/)
